0.5 - 0.0im,0.0 - 0.0im
0.5 - 0.0im,0.0 - 0.0im
0.5 - 0.0im,0.0 - 0.0im
0.5 - 0.0im,0.0 - 0.0im
0.5 - 0.0im,0.0 - 0.0im
0.5 - 0.0im,0.0 - 0.0im
0.5 - 0.0im,0.0 - 0.0im
0.5 - 0.0im,0.0 - 0.0im
0.5 - 0.0im,0.0 - 0.0im
0.5 - 0.0im,0.0 - 0.0im
0.5 - 0.0im,0.0 - 0.0im
0.5 - 0.0im,0.0 - 0.0im
0.5 - 0.0im,0.0 - 0.0im
0.5 - 0.0im,0.0 - 0.0im
0.5 - 0.0im,0.0 - 0.0im
0.5 - 0.0im,0.0 - 0.0im
0.5 - 0.0im,0.0 - 0.0im
0.5 - 0.0im,0.0 - 0.0im
0.5 - 0.0im,1.0374609511670059 - 0.0im
0.5 - 0.0im,1.1891179372211589 - 0.0im
